clicks,utm_term,code
22,0526,ba
13,0602,bi
13,0604,bl
30,0610_2,bn
33,0611,br
23,BMW,bs
27,아우디,bu
23,g90,bv
15,Q3,bw
10,a6,by
20,월드컵,bz
11,G80,c0
11,TESLA,c1
11,volkswagen,c2
8,BMW,c4
16,전기차 보조금,c5
5,볼보,c6
6,수입차 판매량,c7
6,모빌리티쇼,c8
7,아우디,c9
5,BMW,ca
7,벤츠,cb
6,모빌리티쇼,cc
6,초년생첫차,cd
3,국산차판매량,ce
2,신차구매절차,cf
339,TOTAL_nonzero,
0,zero_utms,82
