code,utm_term,clicks
bl,0604,17
bn,0610_2,17
ba,0526,16
bi,0602,16
br,0611,16
bs,BMW,16
bu,아우디,16
by,a6,16
bz,월드컵,15
ca,BMW,14
cc,모빌리티쇼,14
cx,2607_benz,14
bv,g90,13
bw,Q3,13
cb,벤츠,13
cs,수입차 판매량,13
cw,2607_bmw,13
cd,초년생첫차,12
ce,국산차판매량,12
ck,신차 계약시 주의사항,12
cm,bmw x5,12
cv,테슬라,12
da,2607_여름철 충전,12
ch,테슬라,11
ci,개소세 감면,11
cn,BYD,11
cy,자유주행 총정리,11
cf,신차구매절차,10
co,tesla,10
dg,2607_지커,3
c8,모빌리티쇼,2
c0,G80,1
c2,volkswagen,1
c9,아우디,1
d0,2607_audi,1
d3,2607_rangerover,1
dd,2607_장단기렌트 비교,1
de,2607_전기차 살까 리스할까,1
df,2607_운전점검,1
TOTAL,,401
